event_id,app_user_id,event_type,timestamp,properties
EVT_000000,APP_000000,invite_sent,2022-03-25T10:00:00,"{""count"":5}"
EVT_000001,APP_000000,reconcile_run,2023-04-17T20:00:00,"{""source"":""crm""}"
EVT_000002,APP_000000,rule_modified,2022-12-26T07:00:00,"{""count"":5}"
EVT_000003,APP_000000,reconcile_run,2022-12-14T19:00:00,"{""source"":""crm""}"
EVT_000004,APP_000001,settings_updated,2024-01-12T09:00:00,"{""plan"":""starter""}"
EVT_000005,APP_000001,settings_updated,2025-02-25T07:00:00,"{""count"":5}"
EVT_000006,APP_000002,source_added,2023-12-08T11:00:00,"{""source"":""crm""}"
EVT_000007,APP_000002,dashboard_view,2023-03-28T00:00:00,"{""source"":""crm""}"
EVT_000008,APP_000002,page_view,2023-08-02T10:00:00,"{""count"":5}"
EVT_000009,APP_000002,invite_sent,2023-07-01T18:00:00,"{""count"":5}"
EVT_000010,APP_000002,invite_sent,2023-08-29T06:00:00,"{""plan"":""starter""}"
EVT_000011,APP_000002,rule_modified,2023-08-10T02:00:00,{}
EVT_000012,APP_000002,rule_modified,2023-01-07T01:00:00,"{""source"":""crm""}"
EVT_000013,APP_000003,source_added,2023-02-08T11:00:00,"{""plan"":""starter""}"
EVT_000014,APP_000003,page_view,2023-08-28T12:00:00,"{""plan"":""starter""}"
EVT_000015,APP_000003,page_view,2024-04-19T10:00:00,"{""source"":""crm""}"
EVT_000016,APP_000003,reconcile_run,2023-08-05T00:00:00,"{""plan"":""starter""}"
EVT_000017,APP_000004,dashboard_view,2022-11-13T07:00:00,"{""count"":5}"
EVT_000018,APP_000004,source_added,2023-10-28T23:00:00,"{""source"":""crm""}"
EVT_000019,APP_000004,source_added,2023-01-04T01:00:00,"{""count"":5}"
EVT_000020,APP_000005,dashboard_view,2024-11-27T22:00:00,{}
EVT_000021,APP_000005,page_view,2025-01-19T21:00:00,"{""count"":5}"
EVT_000022,APP_000005,reconcile_run,2023-12-10T16:00:00,{}
EVT_000023,APP_000005,reconcile_run,2023-11-25T03:00:00,{}
EVT_000024,APP_000006,reconcile_run,2022-11-29T05:00:00,"{""source"":""crm""}"
EVT_000025,APP_000006,page_view,2022-11-18T05:00:00,{}
EVT_000026,APP_000007,settings_updated,2023-12-13T03:00:00,"{""plan"":""starter""}"
EVT_000027,APP_000007,invite_sent,2023-06-02T04:00:00,"{""count"":5}"
EVT_000028,APP_000007,rule_modified,2023-04-26T12:00:00,{}
EVT_000029,APP_000007,export,2022-09-10T05:00:00,"{""count"":5}"
EVT_000030,APP_000007,spec_created,2023-05-17T22:00:00,"{""plan"":""starter""}"
EVT_000031,APP_000007,page_view,2023-09-27T03:00:00,{}
EVT_000032,APP_000007,page_view,2023-05-08T21:00:00,"{""source"":""crm""}"
EVT_000033,APP_000008,source_added,2023-03-03T20:00:00,"{""plan"":""starter""}"
EVT_000034,APP_000008,export,2023-07-03T10:00:00,"{""count"":5}"
EVT_000035,APP_000008,settings_updated,2023-10-15T09:00:00,"{""source"":""crm""}"
EVT_000036,APP_000008,dashboard_view,2023-03-01T21:00:00,"{""count"":5}"
EVT_000037,APP_000008,rule_modified,2022-09-03T12:00:00,{}
EVT_000038,APP_000008,spec_created,2023-01-09T20:00:00,{}
EVT_000039,APP_000008,settings_updated,2023-06-06T21:00:00,"{""source"":""crm""}"
